iter	Passed	Remaining
0	217	216804
1	255	127312
2	275	91625
3	297	73967
4	313	62445
5	331	54986
6	351	49922
7	370	45919
8	388	42783
9	411	40709
10	431	38828
11	446	36792
12	461	35033
13	477	33603
14	493	32415
15	507	31226
16	518	29956
17	533	29086
18	546	28216
19	562	27583
20	583	27221
21	601	26754
22	619	26317
23	642	26142
24	666	25976
25	690	25857
26	706	25473
27	724	25147
28	740	24802
29	755	24412
30	770	24089
31	788	23864
32	805	23616
33	818	23259
34	827	22814
35	836	22411
36	847	22052
37	864	21874
38	883	21773
39	901	21647
40	922	21568
41	937	21377
42	955	21258
43	972	21122
44	988	20986
45	1007	20895
46	1030	20894
47	1049	20808
48	1065	20677
49	1083	20593
50	1102	20521
51	1120	20420
52	1138	20339
53	1162	20364
54	1178	20254
55	1191	20092
56	1202	19887
57	1214	19724
58	1226	19557
59	1238	19409
60	1249	19232
61	1261	19083
62	1273	18946
63	1284	18788
64	1297	18668
65	1318	18651
66	1331	18543
67	1344	18425
68	1355	18283
69	1368	18183
70	1385	18134
71	1399	18037
72	1416	17989
73	1432	17924
74	1450	17885
75	1462	17783
76	1473	17667
77	1488	17597
78	1504	17534
79	1517	17451
80	1532	17392
81	1546	17317
82	1560	17243
83	1576	17186
84	1589	17109
85	1603	17046
86	1617	16979
87	1633	16925
88	1648	16876
89	1663	16823
90	1679	16775
91	1694	16722
92	1708	16661
93	1724	16624
94	1743	16613
95	1758	16559
96	1774	16517
97	1787	16449
98	1796	16346
99	1805	16247
100	1813	16138
101	1821	16040
102	1838	16007
103	1853	15970
104	1868	15922
105	1884	15891
106	1902	15875
107	1918	15841
108	1933	15802
109	1950	15781
110	1966	15751
111	1983	15723
112	1999	15691
113	2014	15657
114	2030	15626
115	2046	15595
116	2062	15562
117	2078	15534
118	2093	15497
119	2108	15460
120	2122	15418
121	2137	15381
122	2150	15331
123	2165	15297
124	2180	15260
125	2195	15231
126	2212	15209
127	2230	15194
128	2249	15190
129	2270	15193
130	2285	15159
131	2304	15150
132	2322	15138
133	2342	15139
134	2358	15114
135	2376	15096
136	2398	15105
137	2413	15073
138	2428	15040
139	2444	15014
140	2460	14988
141	2476	14960
142	2492	14939
143	2507	14904
144	2520	14861
145	2537	14843
146	2552	14809
147	2567	14780
148	2584	14759
149	2599	14732
150	2615	14707
151	2631	14682
152	2645	14643
153	2661	14620
154	2677	14599
155	2693	14573
156	2708	14540
157	2723	14512
158	2738	14485
159	2754	14459
160	2770	14438
161	2782	14395
162	2793	14346
163	2803	14289
164	2812	14234
165	2828	14211
166	2843	14181
167	2858	14158
168	2874	14135
169	2890	14114
170	2907	14095
171	2922	14067
172	2938	14044
173	2954	14025
174	2969	13999
175	2980	13955
176	2997	13935
177	3013	13915
178	3028	13890
179	3043	13865
180	3060	13847
181	3075	13823
182	3091	13801
183	3107	13783
184	3122	13755
185	3134	13717
186	3151	13700
187	3167	13681
188	3182	13655
189	3198	13636
190	3214	13616
191	3229	13592
192	3246	13576
193	3260	13547
194	3275	13521
195	3290	13498
196	3304	13469
197	3320	13447
198	3335	13426
199	3347	13391
200	3362	13366
201	3378	13348
202	3393	13323
203	3407	13297
204	3424	13282
205	3438	13253
206	3451	13221
207	3467	13203
208	3480	13172
209	3496	13153
210	3510	13126
211	3527	13113
212	3543	13091
213	3552	13047
214	3561	13005
215	3575	12977
216	3585	12938
217	3600	12914
218	3613	12887
219	3629	12868
220	3644	12847
221	3660	12828
222	3674	12802
223	3688	12776
224	3702	12751
225	3717	12731
226	3733	12712
227	3749	12696
228	3765	12677
229	3775	12639
230	3788	12610
231	3801	12584
232	3816	12562
233	3832	12546
234	3847	12524
235	3862	12505
236	3875	12477
237	3890	12455
238	3904	12433
239	3919	12412
240	3932	12386
241	3948	12366
242	3963	12348
243	3978	12325
244	3994	12309
245	4010	12293
246	4026	12274
247	4040	12250
248	4056	12235
249	4073	12219
250	4090	12204
251	4105	12186
252	4120	12166
253	4134	12142
254	4150	12126
255	4166	12109
256	4181	12088
257	4196	12069
258	4210	12046
259	4225	12025
260	4239	12004
261	4254	11984
262	4268	11961
263	4283	11942
264	4298	11921
265	4313	11902
266	4328	11882
267	4343	11864
268	4359	11845
269	4372	11822
270	4388	11806
271	4402	11783
272	4418	11767
273	4435	11751
274	4450	11733
275	4467	11719
276	4484	11705
277	4497	11681
278	4513	11663
279	4529	11646
280	4543	11625
281	4557	11602
282	4571	11583
283	4587	11566
284	4601	11545
285	4617	11527
286	4632	11509
287	4646	11486
288	4661	11467
289	4676	11449
290	4690	11428
291	4705	11409
292	4722	11394
293	4735	11372
294	4751	11354
295	4764	11331
296	4778	11309
297	4789	11283
298	4799	11253
299	4815	11237
300	4831	11219
301	4847	11203
302	4862	11185
303	4877	11167
304	4891	11146
305	4904	11122
306	4919	11105
307	4934	11086
308	4947	11063
309	4961	11043
310	4976	11024
311	4992	11008
312	5006	10987
313	5017	10961
314	5032	10943
315	5048	10927
316	5063	10910
317	5079	10894
318	5094	10875
319	5106	10850
320	5118	10826
321	5133	10807
322	5150	10795
323	5165	10777
324	5177	10752
325	5191	10734
326	5204	10711
327	5217	10688
328	5231	10670
329	5248	10656
330	5263	10637
331	5278	10621
332	5296	10608
333	5311	10590
334	5328	10576
335	5344	10561
336	5359	10544
337	5374	10526
338	5390	10510
339	5405	10493
340	5421	10478
341	5435	10458
342	5449	10439
343	5463	10419
344	5479	10403
345	5495	10387
346	5512	10374
347	5527	10356
348	5538	10331
349	5553	10314
350	5567	10294
351	5582	10276
352	5595	10255
353	5611	10239
354	5627	10225
355	5641	10205
356	5655	10187
357	5669	10167
358	5684	10150
359	5700	10134
360	5717	10120
361	5731	10101
362	5746	10084
363	5760	10064
364	5772	10041
365	5788	10027
366	5804	10012
367	5821	9998
368	5832	9974
369	5848	9957
370	5861	9937
371	5874	9917
372	5889	9900
373	5902	9879
374	5917	9863
375	5930	9842
376	5946	9827
377	5961	9808
378	5975	9790
379	5989	9771
380	6001	9750
381	6016	9734
382	6032	9717
383	6047	9701
384	6060	9680
385	6075	9663
386	6091	9648
387	6105	9630
388	6121	9614
389	6137	9599
390	6152	9583
391	6167	9565
392	6183	9550
393	6199	9534
394	6213	9517
395	6231	9504
396	6246	9487
397	6258	9466
398	6273	9450
399	6290	9435
400	6306	9421
401	6321	9403
402	6335	9385
403	6352	9371
404	6367	9354
405	6383	9339
406	6400	9324
407	6415	9308
408	6431	9292
409	6446	9276
410	6463	9263
411	6480	9249
412	6496	9232
413	6511	9217
414	6527	9202
415	6545	9188
416	6557	9167
417	6573	9152
418	6588	9135
